rank,course,avg_score,responses_used,mentions_total,most_beneficial,neutral,least_beneficial
1,ACC 679R Special Topics,3.0,1,55,1,0,0
2,ACC 6150 Info Sys Audit,2.4536,23,55,21,1,1
3,ACC 6400 Advanced Tax Business Entities,1.9647,43,55,32,11,0
4,ACC 6060 Professionalism and Leadership,1.7953,53,55,39,12,2
5,ACC 6600 Business Law for Accountants (if taken as an elective),1.7833,12,55,9,2,1
6,ACC 6600 Business Law for Accountants,1.7539,17,55,13,2,2
7,ACC 6410 Tax Research & Procedure,1.6282,13,55,9,3,1
8,ACC 6420 Corporate Tax,1.5351,19,55,12,6,1
9,ACC 6300 Data Analytics,1.5047,32,55,19,13,0
10,ACC 6350 Mgmt Control Sys (if taken as an elective),0.925,16,55,8,5,3
11,ACC 6250 Financial Reporting and Analysis,0.848,17,55,6,10,1
12,ACC 6140 Fraud Exam & Forensic Acc,0.807,19,55,9,7,3
13,ACC 6440 Partnership Tax,0.7778,15,55,8,3,4
14,ACC 6560 Financial Theory & Research I,0.6417,52,55,24,18,10
15,ACC 6030 Financial Accounting Reporting,0.54,45,55,15,24,6
16,ACC 6350 Managment Control Systems,0.4539,51,55,24,13,14
17,ACC 6510 Financial Audit,-0.1077,52,55,13,22,17
18,ACC 6610 Finance Statement Research,-0.415,20,55,7,3,10
19,ACC 6540 Professional Ethics,-1.007,50,55,8,13,29
